old_url,mechanizam,url_u_browseru,servira_se,http_status,napomena
"https://dermotin.co/bg/elementor-hf/footer-redizajniran-paki-bg","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.co/bg/elementor-hf/header-bg","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.co/bg/faq","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.co/bg/home","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.co/bg/imprint","REDIRECT 301","/rs","/rs","200","Pravni sadrzaj je na novom sajtu u footer modalima."
"https://dermotin.co/bg/order-confirmed/thank-you-bg","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.co/bg/order-confirmed/thank-you-page-11","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.co/bg/privacy-statement","REDIRECT 301","/rs","/rs","200","Pravni sadrzaj je na novom sajtu u footer modalima."
"https://dermotin.co/bg/product-category/nekategorizovano-bg","REDIRECT 301","/rs/products","/rs/products","200",""
"https://dermotin.co/bg/product/biomelis","REWRITE (URL ostaje isti)","/bg/product/biomelis","/rs/products/biomelis","200",""
"https://dermotin.co/bg/product/biowart","REWRITE (URL ostaje isti)","/bg/product/biowart","/rs/products/biowart","200",""
"https://dermotin.co/bg/product/fungel","REWRITE (URL ostaje isti)","/bg/product/fungel","/rs/products/fungel","200",""
"https://dermotin.co/bg/shop","REDIRECT 301","/rs/products","/rs/products","200",""
"https://dermotin.co/bg/terms-and-conditions","REDIRECT 301","/rs","/rs","200","Pravni sadrzaj je na novom sajtu u footer modalima."
"https://dermotin.co/bs/cart","REDIRECT 301","/ba/checkout","/ba/checkout","200",""
"https://dermotin.co/bs/cesta-pitanja","REDIRECT 301","/ba","/ba","200",""
"https://dermotin.co/bs/checkout","REDIRECT 301","/ba/checkout","/ba/checkout","200",""
"https://dermotin.co/bs/checkouts/biomelis","REWRITE (URL ostaje isti)","/bs/checkouts/biomelis","/ba/checkouts/biomelis","200",""
"https://dermotin.co/bs/checkouts/biomelis-v3","REWRITE (URL ostaje isti)","/bs/checkouts/biomelis-v3","/ba/checkouts/biomelis","200",""
"https://dermotin.co/bs/checkouts/bioroid","REWRITE (URL ostaje isti)","/bs/checkouts/bioroid","/ba/checkouts/bioroid","200",""
"https://dermotin.co/bs/checkouts/biowart","REWRITE (URL ostaje isti)","/bs/checkouts/biowart","/ba/checkouts/biowart","200",""
"https://dermotin.co/bs/checkouts/biowart-v3","REWRITE (URL ostaje isti)","/bs/checkouts/biowart-v3","/ba/checkouts/biowart","200",""
"https://dermotin.co/bs/checkouts/fungel","REWRITE (URL ostaje isti)","/bs/checkouts/fungel","/ba/checkouts/fungel","200",""
"https://dermotin.co/bs/checkouts/fungel-v3","REWRITE (URL ostaje isti)","/bs/checkouts/fungel-v3","/ba/checkouts/fungel","200",""
"https://dermotin.co/bs/checkouts/fungomax","REWRITE (URL ostaje isti)","/bs/checkouts/fungomax","/ba/checkouts/fungomax","200",""
"https://dermotin.co/bs/elementor-hf/footer-novi-footer-2","REDIRECT 301","/ba","/ba","200",""
"https://dermotin.co/bs/elementor-hf/footer-refizajniran-paki-ba","REDIRECT 301","/ba","/ba","200",""
"https://dermotin.co/bs/elementor-hf/header","REDIRECT 301","/ba","/ba","200",""
"https://dermotin.co/bs/kontakt","REDIRECT 301","/ba/contact","/ba/contact","200",""
"https://dermotin.co/bs/pocetna-bosanski","REDIRECT 301","/ba","/ba","200",""
"https://dermotin.co/bs/politika-privatnosti","REDIRECT 301","/ba","/ba","200","Pravni sadrzaj je na novom sajtu u footer modalima."
"https://dermotin.co/bs/product-category/uncategorized-bs","REDIRECT 301","/ba/products","/ba/products","200",""
"https://dermotin.co/bs/product/biomelis","REWRITE (URL ostaje isti)","/bs/product/biomelis","/ba/products/biomelis","200",""
"https://dermotin.co/bs/product/bioroid","REWRITE (URL ostaje isti)","/bs/product/bioroid","/ba/products/bioroid","200",""
"https://dermotin.co/bs/product/biowart","REWRITE (URL ostaje isti)","/bs/product/biowart","/ba/products/biowart","200",""
"https://dermotin.co/bs/product/fungel","REWRITE (URL ostaje isti)","/bs/product/fungel","/ba/products/fungel","200",""
"https://dermotin.co/bs/product/fungomax","REWRITE (URL ostaje isti)","/bs/product/fungomax","/ba/products/fungomax","200",""
"https://dermotin.co/bs/shop","REDIRECT 301","/ba/products","/ba/products","200",""
"https://dermotin.co/bs/uslovi-koriscenja","REDIRECT 301","/ba","/ba","200","Pravni sadrzaj je na novom sajtu u footer modalima."
"https://dermotin.co/cart","REDIRECT 301","/rs/checkout","/rs/checkout","200",""
"https://dermotin.co/cesta-pitanja","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.co/checkout","REDIRECT 301","/rs/checkout","/rs/checkout","200",""
"https://dermotin.co/checkouts/biomelis-kapi","REWRITE (URL ostaje isti)","/checkouts/biomelis-kapi","/rs/checkouts/biomelis-kapi","200",""
"https://dermotin.co/checkouts/biomelis-v2","REWRITE (URL ostaje isti)","/checkouts/biomelis-v2","/rs/checkouts/biomelis","200",""
"https://dermotin.co/checkouts/bioroid","REWRITE (URL ostaje isti)","/checkouts/bioroid","/rs/checkouts/bioroid","200",""
"https://dermotin.co/checkouts/bioroid-kapi","REWRITE (URL ostaje isti)","/checkouts/bioroid-kapi","/rs/checkouts/bioroid-kapi","200",""
"https://dermotin.co/checkouts/bioroid-set","REWRITE (URL ostaje isti)","/checkouts/bioroid-set","/rs/checkouts/bioroid-set","200","BIOROID SET postoji u novom RS katalogu."
"https://dermotin.co/checkouts/biowart-v1","REWRITE (URL ostaje isti)","/checkouts/biowart-v1","/rs/checkouts/biowart","200",""
"https://dermotin.co/checkouts/biowart-v3","REWRITE (URL ostaje isti)","/checkouts/biowart-v3","/rs/checkouts/biowart","200",""
"https://dermotin.co/checkouts/checkout-ba","REWRITE (URL ostaje isti)","/checkouts/checkout-ba","/ba/checkout","200",""
"https://dermotin.co/checkouts/fungel-v1","REWRITE (URL ostaje isti)","/checkouts/fungel-v1","/rs/checkouts/fungel","200",""
"https://dermotin.co/checkouts/fungomax","REWRITE (URL ostaje isti)","/checkouts/fungomax","/rs/checkouts/fungomax","200",""
